Iteration,Loss,BPC,Time (ms),MFU
497,5.1663,7.4533,4871.31,4.82
498,4.9342,7.1185,4867.69,4.82
499,5.0789,7.3273,4869.35,4.82
500,5.2438,7.5651,4878.16,4.82
501,4.3957,6.3417,4866.11,4.82
502,5.261,7.59,4851.53,4.82
503,5.0746,7.321,4873.73,4.82
504,4.9508,7.1425,4868.02,4.82
505,4.0709,5.8731,4862.48,4.82
506,4.5878,6.6188,4877.92,4.82
507,5.0985,7.3555,4869.64,4.81
508,4.9689,7.1686,4857.34,4.82
509,5.0029,7.2177,4868.89,4.82
510,4.7951,6.9179,4870.98,4.82
511,4.8629,7.0156,4843.66,4.82
512,5.2174,7.5271,4868.35,4.82
513,5.0921,7.3464,4866.49,4.82
514,5.0332,7.2614,4852.37,4.82
515,5.2588,7.5868,4860.07,4.82
516,4.9086,7.0816,4857.52,4.82
517,4.8788,7.0386,4837.53,4.82
518,5.0647,7.3069,4858.0,4.82
519,4.6933,6.771,4858.37,4.82
520,5.0404,7.2718,4856.76,4.82
521,4.8707,7.0269,4861.19,4.82
522,4.565,6.5858,4864.65,4.82
523,4.8432,6.9872,4839.39,4.82
524,5.156,7.4385,4848.77,4.83
525,5.0663,7.3091,4866.81,4.82
526,4.8072,6.9353,4848.95,4.83
527,4.6831,6.7562,4861.64,4.82
528,4.4667,6.444,4855.1,4.82
529,4.6573,6.719,4837.38,4.83
530,4.8088,6.9376,4860.3,4.83
531,4.8109,6.9406,4856.11,4.83
532,5.1661,7.453,4838.32,4.83
533,5.3546,7.725,4843.76,4.83
534,5.0788,7.3271,4855.06,4.83
535,4.5782,6.6049,4837.71,4.83
536,4.9286,7.1105,4857.32,4.83
537,4.9319,7.1152,4859.79,4.83
538,5.327,7.6852,4836.36,4.83
539,5.6359,8.1308,4844.36,4.83
540,4.906,7.0779,4853.51,4.83
541,4.9783,7.1822,4838.6,4.83
542,4.5133,6.5114,4851.25,4.83
543,5.2304,7.5459,4862.77,4.83
544,5.171,7.4601,4839.87,4.83
