Iteration,Loss,BPC,Time (ms),MFU
488,4.6639,6.7285,6506.18,7.57
489,5.184,7.4789,6554.13,7.55
490,4.8426,6.9864,6577.73,7.52
491,5.021,7.2438,6566.87,7.5
492,4.5219,6.5237,6564.48,7.49
493,4.6513,6.7104,6557.21,7.47
494,4.9696,7.1696,6562.48,7.46
495,4.4593,6.4334,6583.41,7.44
496,5.1931,7.492,6614.16,7.43
497,4.5777,6.6043,6542.11,7.42
498,4.8727,7.0299,6478.81,7.42
499,5.3822,7.7649,6437.53,7.43
500,4.1652,6.0091,6414.32,7.43
501,4.827,6.9639,6413.77,7.44
502,5.4449,7.8553,6417.13,7.45
503,5.0904,7.3439,6418.44,7.45
504,5.1225,7.3902,6417.37,7.46
505,4.6577,6.7196,6419.27,7.46
506,5.2134,7.5213,6434.99,7.46
507,4.7833,6.9009,6461.99,7.46
508,4.6741,6.7433,6505.11,7.46
509,4.9411,7.1285,6555.43,7.45
510,4.6104,6.6515,6583.75,7.43
511,4.7021,6.7837,6555.79,7.42
512,4.8506,6.998,6446.07,7.43
513,4.5553,6.572,6339.72,7.44
514,4.5431,6.5543,6294.44,7.46
515,4.8797,7.04,6236.37,7.49
516,5.1263,7.3957,6185.36,7.52
517,4.7539,6.8584,6172.81,7.55
518,5.1025,7.3614,6155.95,7.57
519,4.9422,7.1301,6136.99,7.6
520,5.0733,7.3192,6150.12,7.62
521,4.5111,6.5082,6142.33,7.65
522,4.9737,7.1755,6146.71,7.66
523,4.8702,7.0262,6155.12,7.68
524,4.7802,6.8964,6162.95,7.69
525,3.9645,5.7196,6154.47,7.71
526,4.9062,7.0782,6195.55,7.71
527,4.8107,6.9404,6205.38,7.72
528,4.5975,6.6328,6235.22,7.72
529,5.075,7.3217,6259.98,7.71
530,4.7504,6.8534,6314.01,7.71
531,4.698,6.7778,6358.41,7.69
532,5.2935,7.6369,6399.14,7.67
533,4.8234,6.9588,6418.11,7.66
534,5.0624,7.3035,6459.35,7.64
535,4.6202,6.6655,6494.39,7.61
536,4.5531,6.5687,6508.6,7.59
537,5.0596,7.2995,6496.69,7.57
538,4.7914,6.9125,6496.16,7.56
539,4.9192,7.0969,6514.66,7.54
540,4.5042,6.4983,6538.31,7.52
541,5.2717,7.6054,6570.86,7.5
542,4.7478,6.8496,6612.09,7.48
543,4.9654,7.1636,6682.08,7.45
544,4.7849,6.9032,6723.41,7.42
545,4.4662,6.4434,6714.76,7.4
546,5.035,7.2639,6646.04,7.38
547,5.0511,7.2872,6609.41,7.37
548,4.8781,7.0377,6630.73,7.36
549,4.8499,6.997,6624.49,7.35
550,4.5311,6.537,6616.66,7.34
551,4.5694,6.5923,6642.62,7.33
552,4.9334,7.1174,6659.32,7.32
553,4.7262,6.8184,6675.36,7.31
554,4.7354,6.8318,6661.48,7.3
555,4.5924,6.6254,6637.5,7.3
556,4.5427,6.5537,6614.96,7.3
557,4.7428,6.8425,6609.25,7.3
558,4.8525,7.0007,6604.87,7.29
559,4.5153,6.5142,6611.14,7.29
560,4.1862,6.0394,6608.77,7.29
561,4.8553,7.0047,6586.65,7.29
562,5.1179,7.3835,6575.47,7.3
563,4.6194,6.6645,6542.01,7.3
564,4.4032,6.3525,6537.39,7.31
565,4.9152,7.0911,6551.58,7.31
566,4.8893,7.0538,6539.34,7.32
567,4.6263,6.6744,6563.32,7.32
568,4.8708,7.027,6607.08,7.32
569,4.596,6.6306,6589.48,7.32
570,4.3671,6.3004,6559.75,7.32
571,4.7651,6.8746,6529.8,7.32
572,4.885,7.0476,6502.23,7.33
573,4.2827,6.1786,6506.43,7.34
574,4.8665,7.0209,6509.49,7.34
575,4.3804,6.3195,6514.65,7.35
576,4.3119,6.2208,6542.72,7.35
577,4.2497,6.131,6581.66,7.35
578,4.1091,5.9281,6611.29,7.34
579,4.68,6.7519,6576.42,7.34
580,4.81,6.9394,6468.65,7.35
581,4.4323,6.3945,6422.96,7.36
582,4.7422,6.8416,6409.22,7.38
583,4.3068,6.2134,6373.25,7.39
584,4.066,5.8659,6343.33,7.41
585,4.6824,6.7553,6327.19,7.43
586,4.6341,6.6857,6328.55,7.45
587,4.5126,6.5103,6328.43,7.47
588,4.9218,7.1006,6347.8,7.48
589,5.0219,7.245,6358.89,7.49
590,4.7559,6.8613,6358.04,7.5
591,4.7077,6.7918,6417.21,7.5
592,4.6679,6.7343,6399.47,7.5
593,4.8029,6.9291,6424.35,7.5
594,4.8441,6.9885,6460.63,7.49
595,4.7581,6.8646,6491.76,7.49
596,5.0842,7.335,6527.45,7.47
597,4.8379,6.9796,6551.72,7.46
598,4.3664,6.2994,6603.79,7.44
599,4.7608,6.8684,6665.31,7.42
600,4.5053,6.4997,6698.06,7.4
601,4.5193,6.52,6679.48,7.38
602,4.5969,6.6319,6681.3,7.36
603,4.606,6.6451,6660.18,7.35
604,5.1191,7.3853,6609.55,7.34
605,4.0526,5.8466,6567.28,7.34
606,4.6661,6.7318,6550.23,7.34
607,4.991,7.2005,6539.4,7.34
